City,Timestamp,Wind W-E,Wind E-W,Pressure,Precipitation,Type of Precipitation
London,2023-02-16 15:00:00,4.552873317667169,1.3896908474989988,102769.44120609149,0.0,1
London,2023-02-16 18:00:00,-1.2402722251045208,1.825006866664637,102088.85647144992,0.0,0
London,2023-02-16 21:00:00,5.789239173558769,-1.6157719656972078,101186.04815820795,0.0,0
London,2023-02-17 00:00:00,5.607593005157629,1.8662678914761828,103039.11252174445,0.0,0
London,2023-02-17 03:00:00,6.771202734458454,1.3572191534165405,102103.32102420117,0.0,0
London,2023-02-17 06:00:00,4.257942442091121,-3.7835627307962376,102662.68379772332,0.0,0
London,2023-02-17 09:00:00,-3.433454390087592,2.0676900540177665,102401.27079073458,0.0,1
London,2023-02-17 12:00:00,5.304361095004117,-2.253975035859237,102050.8682515946,0.0,0
London,2023-02-17 15:00:00,4.409558397167869,-1.8467360454115433,102140.65858943449,0.0004589983825189968,0
London,2023-02-17 18:00:00,-0.3203222754600603,-4.512588885158841,101649.01394695883,3.173924985503597e-05,0
London,2023-02-17 21:00:00,3.939085055085907,-3.8001647999511783,101041.55278176215,0.0,0
London,2023-02-18 00:00:00,4.16711935789056,-2.6314279610583915,102952.02490310374,0.0,0
London,2023-02-18 03:00:00,-2.3806878872035844,-4.920804467909781,102336.40552995392,0.0,0
London,2023-02-18 06:00:00,4.351695303201379,1.2429578539384087,102572.7433088168,0.0,0
London,2023-02-18 09:00:00,6.0172734763634175,2.1585131382183267,102221.28971221046,0.0,0
London,2023-02-18 12:00:00,4.1187780388805795,-5.590746787926864,100922.58308664206,9.277626880703035e-05,0
London,2023-02-18 15:00:00,2.1072420422986444,-1.0210272530289544,103093.91766106142,0.00039307840205084714,0
London,2023-02-18 18:00:00,-2.3748283333842055,1.300820947904898,101706.52180547501,0.0,0
London,2023-02-18 21:00:00,4.222785119174769,-1.4011658070619712,102613.58439893796,0.00012207403790398877,0
London,2023-02-19 00:00:00,-2.2241889706106694,1.54472487563708,102750.27191991943,0.0,0
London,2023-02-19 03:00:00,0.7986083559678984,1.4641560106204408,102674.64583269754,0.0,0
London,2023-02-19 06:00:00,5.25406659138767,-2.388012329477841,102767.73949400311,0.0,1
London,2023-02-19 09:00:00,4.962797936948763,1.467818231757564,102519.63988158818,0.0,0
London,2023-02-19 12:00:00,-4.757225257118441,2.596026490066235,102336.80593279825,0.0,0
London,2023-02-19 15:00:00,-2.7945188756981203,1.522507400738562,102697.81914731284,0.0,0
London,2023-02-19 18:00:00,4.651020844141982,-1.8081606494338884,102585.80645161291,0.0,0
London,2023-02-19 21:00:00,5.151036103396704,1.9771111178930059,101911.92846461378,0.0,0
London,2023-02-20 00:00:00,6.796349986266682,1.3904232917264192,102393.6631366924,0.00036622211371196636,1
London,2023-02-20 03:00:00,6.452345347453226,-6.632038331247912,101910.37690359203,0.0,0
London,2023-02-20 06:00:00,3.8170110171819243,2.0032349620044574,101885.50187688833,3.173924985503601e-05,0
London,2023-02-20 09:00:00,3.8275093844416714,-3.261085848567147,103049.57304605242,0.0,0
London,2023-02-20 12:00:00,-4.407605212561407,-2.7640003662221293,102782.20404675436,0.0,0
London,2023-02-20 15:00:00,5.344645527512428,-3.944700460829496,102015.7829523606,0.0,1
London,2023-02-20 18:00:00,2.921720023194071,-1.1211279641102228,101814.08001953186,0.0,0
London,2023-02-20 21:00:00,0.7019257179479411,-4.495986816003904,102598.31904049806,0.0,0
London,2023-02-21 00:00:00,3.737907040620144,-2.734458449049331,101127.8395947142,0.0,0
London,2023-02-21 03:00:00,5.682790612506494,-2.037171544541765,102377.94732505265,0.0,0
London,2023-02-21 06:00:00,4.029663991210673,3.191991943113493,102120.28809472945,9.03347880489528e-05,0
London,2023-02-21 09:00:00,5.553147984252463,-1.3003326517532852,102965.58854945525,0.0,0
